#{"t_start": 1684518120.9805593, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
215099.556795,7797,43024.573466
215343.59827,7797,43074.653363
215405.198153,7797,43124.741598
215409.922708,7797,43174.845518
215463.701996,7797,43225.048157
215560.288091,7797,43275.233848
215252.913905,7797,43325.423606
215829.215028,7797,43375.598718
215054.027358,7797,43425.790256
215712.839827,7797,43475.941376
215932.873975,7797,43526.113448
215216.152495,7797,43576.442909
215493.048478,7797,43626.535014
216060.587081,7797,43676.775408
215749.648559,7797,43727.075131
215104.964975,7797,43777.158215
215493.176289,7797,43827.341676
215754.98645,7797,43877.562814
215332.433251,7797,43927.734682
215271.730089,7797,43977.819345
215659.791537,7797,44027.979772
215928.680097,7797,44078.230946
215680.123549,7797,44128.401261
215525.013198,7797,44178.57382
215268.026404,7797,44228.709273
215506.826066,7797,44278.831987
215932.985835,7797,44328.976563
215305.068903,7797,44379.097089
215865.521208,7797,44429.411476
215675.526926,7797,44479.88098
215326.031127,7797,44529.929921
215357.123663,7797,44580.017953
215373.248746,7797,44630.136985
215364.700692,7797,44680.271549
215565.971957,7797,44730.43114
215926.450269,7797,44780.668016
215446.044216,7797,44830.972387
216016.845431,7797,44881.018085
215814.119454,7797,44931.135545
215640.227439,7797,44981.249901
215977.881765,7797,45031.519108
216000.735806,7797,45081.615107
215247.232452,7797,45131.734459
215191.239366,7797,45182.019104
215267.423119,7797,45232.214964
215368.702405,7797,45282.302925
215400.102839,7797,45332.495018
216041.030519,7797,45382.678715
215226.230773,7797,45432.794162
215752.732653,7797,45482.909097
216020.173759,7797,45533.068273
215474.108573,7797,45583.298134
215163.689337,7797,45633.469065
215072.961925,7797,45683.653762
215362.385126,7797,45733.766993
215418.059262,7797,45783.941147
215925.404962,7797,45833.978244
215004.102307,7797,45884.087618
215380.725468,7797,45934.42391
215336.749003,7797,45984.577753
214873.865104,7797,46034.663989
215482.220247,7797,46084.72326
215124.393989,7797,46134.755083
215854.165864,7797,46184.812137
215261.04587,7797,46235.088538
215361.216229,7797,46285.409381
214954.498985,7797,46335.629709
215550.620492,7797,46385.676684
214765.431757,7797,46435.853312
215435.064937,7797,46485.965365
215685.957101,7797,46536.064478
215151.465683,7797,46586.196343
215988.966182,7797,46636.381873
215944.979839,7797,46686.661808
215615.319439,7797,46736.771405
215592.087227,7797,46786.891759
215820.162135,7797,46837.02881
215329.264979,7797,46887.244182
215604.743362,7797,46937.442358
215533.426285,7797,46987.60311
214676.873153,7797,47037.696622
214744.221847,7797,47087.851114
215640.941936,7797,47138.035282
215651.848541,7797,47188.21629
214968.603746,7797,47238.281627
215007.100591,7797,47288.411495
215339.306201,7797,47338.472166
215272.146532,7797,47388.630935
215963.755114,7797,47439.17908
216176.188025,7797,47489.369183
214990.923649,7797,47539.456384
214932.400845,7797,47589.547049
215138.618009,7797,47639.69787
215714.642403,7797,47689.822708
215404.965248,7797,47740.028845
215632.602247,7797,47790.528072
215380.387418,7797,47840.666837
215650.012834,7797,47890.810432
214944.526177,7797,47941.010635
216098.591996,7797,47991.194547
215058.114142,7797,48041.320937
215688.940886,7797,48091.44022
215435.903785,7797,48141.735322
216148.071195,7797,48191.968566
