#{"t_start": 1684608732.1879709, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
143307.917279,7797,26134.368572
143694.069603,7797,26195.159435
143509.228754,7797,26255.215439
143730.948314,7797,26315.660912
143654.88307,7797,26379.705246
143426.858354,7797,26442.013079
143391.580948,7797,26502.527187
143461.543563,7797,26563.51356
143557.170432,7797,26625.591936
143456.938907,7797,26686.636111
143409.403586,7797,26747.225161
143514.45758,7797,26819.276369
143536.301339,7797,26881.093359
143713.801646,7797,26950.358789
143339.609443,7797,27024.792282
143347.033744,7797,27093.234772
143765.653226,7797,27164.063513
143629.897486,7797,27232.007211
143539.821839,7797,27293.229756
143432.299004,7797,27353.913579
143570.438698,7797,27414.824062
143601.191812,7797,27475.786982
143030.000164,7797,27536.146397
143701.82042,7797,27599.925231
143927.155778,7797,27660.100786
143556.965635,7797,27721.965498
143178.549806,7797,27782.791118
143737.799176,7797,27842.995128
143138.763821,7797,27903.093962
144056.021718,7797,27963.034616
143789.4783,7797,28023.468868
143375.644915,7797,28083.495937
143501.042166,7797,28143.49513
143587.842959,7797,28207.937565
143728.714738,7797,28268.234537
143699.774953,7797,28328.711163
143642.294864,7797,28388.925394
143159.331416,7797,28448.836727
143350.307302,7797,28508.19703
143771.018804,7797,28568.503276
143426.735133,7797,28628.472368
143556.502546,7797,28688.149041
143492.287168,7797,28747.73634
143231.954096,7797,28810.980666
143644.537131,7797,28870.909177
143444.114426,7797,28930.887416
143508.94757,7797,28990.638442
143909.383343,7797,29050.754408
143590.221372,7797,29110.644505
143696.019809,7797,29171.343345
143463.628793,7797,29230.688545
143380.262916,7797,29290.121423
143559.123977,7797,29350.279143
143225.441447,7797,29413.629474
143589.402452,7797,29473.967475
144132.926654,7797,29533.24377
143588.373834,7797,29593.152964
144429.97311,7797,29653.315804
142963.71948,7797,29713.691126
143668.691159,7797,29772.960146
143568.006271,7797,29833.165213
143336.597823,7797,29893.97023
143726.251404,7797,29954.085693
143413.131549,7797,30018.014543
142985.278677,7797,30077.213247
143880.786083,7797,30137.436192
143364.00772,7797,30198.591394
143674.338896,7797,30259.022449
143322.054627,7797,30318.453754
143834.007412,7797,30379.649222
143435.097419,7797,30439.729231
143814.490403,7797,30499.636793
144113.675408,7797,30559.539876
143647.981952,7797,30622.715887
143475.646485,7797,30682.728537
143497.050239,7797,30742.933718
143321.265543,7797,30803.484263
143679.330111,7797,30863.367831
143198.658621,7797,30923.440103
144134.511159,7797,30983.980885
143650.097741,7797,31044.247176
143338.502954,7797,31104.333352
142989.590345,7797,31164.100587
143231.714015,7797,31227.607726
143540.846491,7797,31288.396286
143748.102759,7797,31349.541735
143432.577656,7797,31409.299188
143887.848719,7797,31468.340406
143290.293583,7797,31528.759908
143603.328063,7797,31589.061682
143521.690566,7797,31649.342609
143381.5947,7797,31708.472444
143616.880941,7797,31770.211332
143731.057935,7797,31832.310335
143069.467276,7797,31892.694999
143557.079624,7797,31951.964329
143840.585322,7797,32011.507252
143486.400539,7797,32071.776361
143547.924968,7797,32132.518712
143827.90951,7797,32192.344864
143343.530076,7797,32251.881117
144160.11156,7797,32312.11076
143517.113923,7797,32374.210629
143722.261876,7797,32435.829
143568.481829,7797,32495.212993
143604.085065,7797,32554.526249
143355.323412,7797,32636.740311
143308.297636,7797,32697.856215
143072.628742,7797,32758.907269
143889.293595,7797,32818.868766
143631.626176,7797,32879.331167
143480.527048,7797,32939.545921
143632.070134,7797,33005.454927
143531.039002,7797,33066.178081
143862.743352,7797,33126.660888
143803.937811,7797,33187.261987
143300.183988,7797,33247.968279
142962.691174,7797,33308.167284
143875.237755,7797,33370.249841
143643.055129,7797,33431.026317
143269.898274,7797,33493.113628
143513.261034,7797,33553.881578
143533.368409,7797,33618.524559
143386.122863,7797,33679.128646
143644.735079,7797,33740.201485
142903.329216,7797,33802.304095
143776.169226,7797,33863.941718
143014.113324,7797,33924.987938
143432.090759,7797,33986.732446
143653.981363,7797,34048.100102
143864.734018,7797,34107.774867
143315.879264,7797,34168.958065
143313.061516,7797,34232.274092
143232.373633,7797,34293.054218
143875.139205,7797,34353.770057
143640.869079,7797,34413.910896
143762.463147,7797,34474.237002
143656.646521,7797,34535.037453
144012.223582,7797,34595.66037
143635.944631,7797,34655.864689
143292.710052,7797,34715.638706
143344.186942,7797,34778.451744
143318.125957,7797,34840.090441
144180.101257,7797,34901.05468
143466.107514,7797,34961.213796
143908.157669,7797,35020.845419
144026.276416,7797,35081.328577
143047.749702,7797,35142.009654
143809.091202,7797,35202.456854
143755.015413,7797,35262.029446
143480.719117,7797,35322.533358
143068.053248,7797,35386.914176
143690.330466,7797,35447.517584
143558.190575,7797,35507.513529
143831.600721,7797,35567.286595
